184.105.247.194 - - [14/Aug/2018:00:09:57 +0000] "GET / HTTP/1.1" 200 11250
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /jenkins/static/2e481869/assets/handlebars/jsmodules/handlebars3.js HTTP/1.1" 200 63821
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /gitbucket/assets/common/images/feed.png?20180813180451 HTTP/1.1" 200 691
157.44.148.224 - - [14/Aug/2018:03:45:01 +0000] "GET /gitbucket/assets/common/images/gitbucket.svg?20180813180451 HTTP/1.1" 200 2262
157.44.148.224 - - [14/Aug/2018:03:45:02 +0000] "GET /jenkins/static/2e481869/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-regular.woff2 HTTP/1.1" 200 63156
157.44.148.224 - - [14/Aug/2018:03:45:02 +0000] "GET /jenkins/static/2e481869/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-700.woff2 HTTP/1.1" 200 63396
157.44.148.224 - - [14/Aug/2018:03:45:02 +0000] "GET /jenkins/static/2e481869/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-300.woff2 HTTP/1.1" 200 63104
157.44.148.224 - - [14/Aug/2018:03:45:02 +0000] "GET /jenkins/static/2e481869/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-500.woff2 HTTP/1.1" 200 63800
157.44.148.224 - - [14/Aug/2018:03:45:02 +0000] "GET /gitbucket/root/_avatar?20180811184457 HTTP/1.1" 200 2124
157.44.148.224 - - [14/Aug/2018:03:45:02 +0000] "GET /jenkins/static/2e481869/css/icomoon/fonts/icomoon.ttf?-itxuas HTTP/1.1" 200 51116
157.44.148.224 - - [14/Aug/2018:03:45:03 +0000] "GET /gitbucket/assets/vendors/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
157.44.148.224 - - [14/Aug/2018:03:45:03 +0000] "GET /gitbucket/assets/vendors/google-fonts/fonts/source-sans-pro_400_normal.woff2 HTTP/1.1" 200 15908
157.44.148.224 - - [14/Aug/2018:03:45:03 +0000] "GET /gitbucket/assets/vendors/octicons-4.4.0/octicons.woff2?ef21c39f0ca9b1b5116e5eb7ac5eabe6 HTTP/1.1" 200 20248
157.44.148.224 - - [14/Aug/2018:03:45:03 +0000] "GET /gitbucket/assets/vendors/google-fonts/fonts/source-sans-pro_700_normal.woff2 HTTP/1.1" 200 14520
157.44.148.224 - - [14/Aug/2018:03:45:04 +0000] "GET /gitbucket/assets/common/images/gitbucket.png?20180813180451 HTTP/1.1" 200 15440
157.44.148.224 - - [14/Aug/2018:03:45:39 +0000] "POST /jenkins/j_acegi_security_check HTTP/1.1" 302 -
157.44.148.224 - - [14/Aug/2018:03:45:40 +0000] "GET /jenkins/ HTTP/1.1" 200 1017
157.44.148.224 - - [14/Aug/2018:03:45:40 +0000] "GET /jenkins/i18n/resourceBundle?baseName=jenkins.install.pluginSetupWizard&_=1534218340531 HTTP/1.1" 200 6459
157.44.148.224 - - [14/Aug/2018:03:45:40 +0000] "GET /jenkins/static/2e481869/favicon.ico HTTP/1.1" 200 17542
157.44.148.224 - - [14/Aug/2018:03:45:41 +0000] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1534218340532 HTTP/1.1" 200 70
157.44.148.224 - - [14/Aug/2018:03:45:42 +0000] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1534218340533 HTTP/1.1" 200 58
157.44.148.224 - - [14/Aug/2018:03:45:42 +0000] "GET /jenkins/setupWizard/platformPluginList?_=1534218340534 HTTP/1.1" 200 2305
157.44.148.224 - - [14/Aug/2018:03:45:42 +0000] "GET /jenkins/updateCenter/installStatus?_=1534218340535 HTTP/1.1" 200 48
157.44.148.224 - - [14/Aug/2018:03:45:43 +0000] "GET /jenkins/updateCenter/incompleteInstallStatus?_=1534218340536 HTTP/1.1" 200 25
157.44.148.224 - - [14/Aug/2018:03:45:44 +0000] "GET /jenkins/updateCenter/installStatus?_=1534218340537 HTTP/1.1" 200 48
157.44.148.224 - - [14/Aug/2018:03:45:46 +0000] "GET /jenkins/pluginManager/plugins?_=1534218340538 HTTP/1.1" 200 25
157.44.148.224 - - [14/Aug/2018:03:45:46 +0000] "POST /jenkins/pluginManager/installPlugins HTTP/1.1" 200 63
157.44.148.224 - - [14/Aug/2018:03:45:50 +0000] "GET /jenkins/ HTTP/1.1" 200 1017
157.44.148.224 - - [14/Aug/2018:03:45:51 +0000] "GET /jenkins/i18n/resourceBundle?baseName=jenkins.install.pluginSetupWizard&_=1534218351659 HTTP/1.1" 200 6459
157.44.148.224 - - [14/Aug/2018:03:45:53 +0000] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1534218351660 HTTP/1.1" 200 58
157.44.148.224 - - [14/Aug/2018:03:45:53 +0000] "GET /jenkins/setupWizard/platformPluginList?_=1534218351661 HTTP/1.1" 200 2305
157.44.148.224 - - [14/Aug/2018:03:45:53 +0000] "GET /jenkins/updateCenter/installStatus?_=1534218351662 HTTP/1.1" 200 48
157.44.148.224 - - [14/Aug/2018:03:45:54 +0000] "GET /jenkins/updateCenter/incompleteInstallStatus?_=1534218351663 HTTP/1.1" 200 25
157.44.148.224 - - [14/Aug/2018:03:45:54 +0000] "GET /jenkins/updateCenter/installStatus?_=1534218351664 HTTP/1.1" 200 48
157.44.148.224 - - [14/Aug/2018:03:45:57 +0000] "GET /jenkins/pluginManager/plugins?_=1534218351665 HTTP/1.1" 200 25
157.44.148.224 - - [14/Aug/2018:03:45:58 +0000] "POST /jenkins/pluginManager/installPlugins HTTP/1.1" 200 63
157.44.148.224 - - [14/Aug/2018:03:46:03 +0000] "GET /jenkins/ HTTP/1.1" 200 1017
157.44.148.224 - - [14/Aug/2018:03:46:04 +0000] "GET /jenkins/i18n/resourceBundle?baseName=jenkins.install.pluginSetupWizard&_=1534218363960 HTTP/1.1" 200 6459
157.44.148.224 - - [14/Aug/2018:03:46:04 +0000] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1534218363961 HTTP/1.1" 200 58
157.44.148.224 - - [14/Aug/2018:03:46:05 +0000] "GET /jenkins/setupWizard/platformPluginList?_=1534218363962 HTTP/1.1" 200 2305
157.44.148.224 - - [14/Aug/2018:03:46:06 +0000] "GET /jenkins/updateCenter/installStatus?_=1534218363963 HTTP/1.1" 200 48
157.44.148.224 - - [14/Aug/2018:03:46:06 +0000] "GET /jenkins/updateCenter/incompleteInstallStatus?_=1534218363964 HTTP/1.1" 200 25
157.44.148.224 - - [14/Aug/2018:03:46:06 +0000] "GET /jenkins/updateCenter/installStatus?_=1534218363965 HTTP/1.1" 200 48
157.44.148.224 - - [14/Aug/2018:03:46:09 +0000] "GET /jenkins/pluginManager/plugins?_=1534218363966 HTTP/1.1" 200 25
157.44.148.224 - - [14/Aug/2018:03:46:10 +0000] "GET /jenkins/static/2e481869/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.2 HTTP/1.1" 200 71760
157.44.148.224 - - [14/Aug/2018:03:46:17 +0000] "POST /jenkins/pluginManager/installPlugins HTTP/1.1" 200 63
157.44.148.224 - - [14/Aug/2018:03:46:24 +0000] "GET /jenkins/ HTTP/1.1" 200 1017
157.44.148.224 - - [14/Aug/2018:03:46:25 +0000] "GET /jenkins/i18n/resourceBundle?baseName=jenkins.install.pluginSetupWizard&_=1534218385049 HTTP/1.1" 200 6459
157.44.148.224 - - [14/Aug/2018:03:46:25 +0000] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1534218385050 HTTP/1.1" 200 58
157.44.148.224 - - [14/Aug/2018:03:46:26 +0000] "GET /jenkins/setupWizard/platformPluginList?_=1534218385051 HTTP/1.1" 200 2305
157.44.148.224 - - [14/Aug/2018:03:46:26 +0000] "GET /jenkins/updateCenter/installStatus?_=1534218385052 HTTP/1.1" 200 48
157.44.148.224 - - [14/Aug/2018:03:46:27 +0000] "GET /jenkins/updateCenter/incompleteInstallStatus?_=1534218385053 HTTP/1.1" 200 25
157.44.148.224 - - [14/Aug/2018:03:46:27 +0000] "GET /jenkins/updateCenter/installStatus?_=1534218385054 HTTP/1.1" 200 48
157.44.148.224 - - [14/Aug/2018:03:46:35 +0000] "GET /jenkins/setupWizard/restartStatus?_=1534218385055 HTTP/1.1" 200 72
157.44.148.224 - - [14/Aug/2018:03:46:39 +0000] "POST /jenkins/setupWizard/completeInstall HTTP/1.1" 200 15
157.44.148.224 - - [14/Aug/2018:03:46:41 +0000] "GET /jenkins/ HTTP/1.1" 200 3609
157.44.148.224 - - [14/Aug/2018:03:46:41 +0000] "GET /jenkins/static/2e481869/scripts/yui/cookie/cookie-min.js HTTP/1.1" 200 1430
157.44.148.224 - - [14/Aug/2018:03:46:41 +0000] "GET /jenkins/adjuncts/2e481869/lib/layout/breadcrumbs.css HTTP/1.1" 200 717
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/adjuncts/2e481869/lib/layout/breadcrumbs.js HTTP/1.1" 200 3019
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/adjuncts/2e481869/jenkins/management/AdministrativeMonitorsDecorator/resources.css HTTP/1.1" 200 645
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/adjuncts/2e481869/lib/form/link/link.js HTTP/1.1" 200 293
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/static/2e481869/images/title.png HTTP/1.1" 200 2510
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/static/2e481869/images/headshot.png HTTP/1.1" 200 2409
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/static/2e481869/images/16x16/search.png HTTP/1.1" 200 774
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/adjuncts/2e481869/jenkins/management/AdministrativeMonitorsDecorator/resources.js HTTP/1.1" 200 376
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/static/2e481869/images/16x16/help.png HTTP/1.1" 200 763
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/static/2e481869/images/24x24/notepad.png HTTP/1.1" 200 955
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/static/2e481869/images/24x24/new-package.png HTTP/1.1" 200 922
157.44.148.224 - - [14/Aug/2018:03:46:42 +0000] "GET /jenkins/static/2e481869/images/24x24/user.png HTTP/1.1" 200 1242
157.44.148.224 - - [14/Aug/2018:03:46:43 +0000] "GET /jenkins/static/2e481869/images/16x16/collapse.png HTTP/1.1" 200 168
157.44.148.224 - - [14/Aug/2018:03:46:43 +0000] "GET /jenkins/static/2e481869/images/24x24/folder.png HTTP/1.1" 200 895
157.44.148.224 - - [14/Aug/2018:03:46:43 +0000] "GET /jenkins/adjuncts/2e481869/lib/layout/menu_down_arrow.png HTTP/1.1" 200 2767
157.44.148.224 - - [14/Aug/2018:03:46:43 +0000] "GET /jenkins/adjuncts/2e481869/lib/layout/menu_right_arrow2.png HTTP/1.1" 200 2764
157.44.148.224 - - [14/Aug/2018:03:46:43 +0000] "GET /jenkins/static/2e481869/images/24x24/gear2.png HTTP/1.1" 200 1460
157.44.148.224 - - [14/Aug/2018:03:46:43 +0000] "GET /jenkins/static/2e481869/images/16x16/notepad.png HTTP/1.1" 200 383
157.44.148.224 - - [14/Aug/2018:03:46:43 +0000] "GET /jenkins/static/2e481869/images/top-sticker-bottom-edge.png HTTP/1.1" 200 331
157.44.148.224 - - [14/Aug/2018:03:46:47 +0000] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 366
157.44.148.224 - - [14/Aug/2018:03:46:47 +0000] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 383
157.44.148.224 - - [14/Aug/2018:03:46:52 +0000] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 366
157.44.148.224 - - [14/Aug/2018:03:46:52 +0000] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 383
157.44.148.224 - - [14/Aug/2018:03:48:38 +0000] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 366
157.44.148.224 - - [14/Aug/2018:03:48:38 +0000] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 383
157.44.148.224 - - [14/Aug/2018:03:48:39 +0000] "GET /jenkins/manage HTTP/1.1" 200 4340
157.44.148.224 - - [14/Aug/2018:03:48:39 +0000] "GET /jenkins/static/2e481869/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 2006
157.44.148.224 - - [14/Aug/2018:03:48:39 +0000] "GET /jenkins/static/2e481869/images/48x48/gear2.png HTTP/1.1" 200 3804
157.44.148.224 - - [14/Aug/2018:03:48:39 +0000] "GET /jenkins/static/2e481869/images/48x48/secure.png HTTP/1.1" 200 1908
157.44.148.224 - - [14/Aug/2018:03:48:40 +0000] "GET /jenkins/static/2e481869/images/48x48/setting.png HTTP/1.1" 200 3368
157.44.148.224 - - [14/Aug/2018:03:48:40 +0000] "GET /jenkins/static/2e481869/images/48x48/refresh.png HTTP/1.1" 200 3387
157.44.148.224 - - [14/Aug/2018:03:48:40 +0000] "GET /jenkins/static/2e481869/images/48x48/plugin.png HTTP/1.1" 200 1859
157.44.148.224 - - [14/Aug/2018:03:48:40 +0000] "GET /jenkins/static/2e481869/images/48x48/computer.png HTTP/1.1" 200 3000
157.44.148.224 - - [14/Aug/2018:03:48:40 +0000] "POST /jenkins/administrativeMonitor/hudson.diagnosis.ReverseProxySetupMonitor/test HTTP/1.1" 302 -
